STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FOREST_FIRE,Forest_fire,AREA,Area,CWT,Province,UNIT,Unit measure,FREQ,Frequecny,TIME_PERIOD,OBS_VALUE
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2553,179
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2554,31
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2555,181
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2556,98
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2557,91
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2558,147
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2559,202
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2560,86
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2561,43
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2562,347
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2563,209
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2564,43
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2565,36
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2566,296
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2542,8642
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2543,8700.6
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2544,9492
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2545,8801
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2546,4952
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2547,7568.6
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2548,6738
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2549,2887
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2550,3415.5
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2551,2378
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2552,1381.1
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2553,2792.5
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2554,479
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2555,781
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2556,1070
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,65,Phitsanulok,RAI,Rai,A,Annual,2557,775.1
